produto,autor,site,nota_usuario,comentario,sentimento,classificacao_produto,media_estrelas_produto
A interpretação dos sonhos: Psicanálise para principiantes,Sigmund Freud,Amazon,5,"Livro excelente, conteúdo muito bom",Positivo,Bom,3
A interpretação dos sonhos: Psicanálise para principiantes,Sigmund Freud,Amazon,4,"Muito bom, recomendo a leitura",Positivo,Bom,3
A interpretação dos sonhos: Psicanálise para principiantes,Sigmund Freud,Amazon,3,"Conteúdo interessante, porém complexo",Neutro,Bom,3
A interpretação dos sonhos: Psicanálise para principiantes,Sigmund Freud,Amazon,2,Não gostei da linguagem,Positivo,Bom,3
A interpretação dos sonhos: Psicanálise para principiantes,Sigmund Freud,Amazon,1,"Livro ruim, não atendeu expectativas",Negativo,Bom,3
A psicologia do sonho: Psicanálise para principiantes,Sigmund Freud,Amazon,5,"Livro excelente, conteúdo muito bom",Positivo,Bom,3
A psicologia do sonho: Psicanálise para principiantes,Sigmund Freud,Amazon,4,"Muito bom, recomendo a leitura",Positivo,Bom,3
A psicologia do sonho: Psicanálise para principiantes,Sigmund Freud,Amazon,3,"Conteúdo interessante, porém complexo",Neutro,Bom,3
A psicologia do sonho: Psicanálise para principiantes,Sigmund Freud,Amazon,2,Não gostei da linguagem,Positivo,Bom,3
A psicologia do sonho: Psicanálise para principiantes,Sigmund Freud,Amazon,1,"Livro ruim, não atendeu expectativas",Negativo,Bom,3
Cinco Lições de Psicanálise (1910) - Freud,Sigmund Freud,Amazon,5,"Livro excelente, conteúdo muito bom",Positivo,Bom,3
Cinco Lições de Psicanálise (1910) - Freud,Sigmund Freud,Amazon,4,"Muito bom, recomendo a leitura",Positivo,Bom,3
Cinco Lições de Psicanálise (1910) - Freud,Sigmund Freud,Amazon,3,"Conteúdo interessante, porém complexo",Neutro,Bom,3
Cinco Lições de Psicanálise (1910) - Freud,Sigmund Freud,Amazon,2,Não gostei da linguagem,Positivo,Bom,3
Cinco Lições de Psicanálise (1910) - Freud,Sigmund Freud,Amazon,1,"Livro ruim, não atendeu expectativas",Negativo,Bom,3
O mal-estar na civilização,Sigmund Freud,Amazon,5,"Livro excelente, conteúdo muito bom",Positivo,Bom,3
O mal-estar na civilização,Sigmund Freud,Amazon,4,"Muito bom, recomendo a leitura",Positivo,Bom,3
O mal-estar na civilização,Sigmund Freud,Amazon,3,"Conteúdo interessante, porém complexo",Neutro,Bom,3
O mal-estar na civilização,Sigmund Freud,Amazon,2,Não gostei da linguagem,Positivo,Bom,3
O mal-estar na civilização,Sigmund Freud,Amazon,1,"Livro ruim, não atendeu expectativas",Negativo,Bom,3
Freud - As pulsões e seus destinos – Edição bilíngue,Sigmund Freud,Amazon,5,"Livro excelente, conteúdo muito bom",Positivo,Bom,3
Freud - As pulsões e seus destinos – Edição bilíngue,Sigmund Freud,Amazon,4,"Muito bom, recomendo a leitura",Positivo,Bom,3
Freud - As pulsões e seus destinos – Edição bilíngue,Sigmund Freud,Amazon,3,"Conteúdo interessante, porém complexo",Neutro,Bom,3
Freud - As pulsões e seus destinos – Edição bilíngue,Sigmund Freud,Amazon,2,Não gostei da linguagem,Positivo,Bom,3
Freud - As pulsões e seus destinos – Edição bilíngue,Sigmund Freud,Amazon,1,"Livro ruim, não atendeu expectativas",Negativo,Bom,3
